Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Euro Zone,Price / Euro Zone,Compare At Price / Euro Zone,Included / International,Price / International,Compare At Price / International,Status
et-harum-quidem,Raizel diamond stud earrings,"<p><span class=""MuiBox-root jss8118 innerWrapText"">Elegant and comfy, this embroidered A-line dress which has a round neck, and three-quarter sleeves is all you need to ensure your wardrobe is up to date. B</span><span>rowse through the latest collection of various ethnic dresses with cap sleeve sleeve designs to give a flawless desi look. Stay up to date with the great selection of attractive traditional ethnic dresses made with the perfect blend and modern style.</span></p>
<h4><strong>Sample Unordered List</strong></h4>
<ul>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremou.</li>
</ul>
<h4><strong>Sample Ordered Lista</strong></h4>
<ol>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremous</li>
</ol>
<h4><strong>Sample Paragraph Text</strong></h4>
<blockquote>
<p>Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summer!Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summe!</p>
</blockquote>",PUMA,,Hat,"Cotton, Fashion, Summer, Time_2025/05/13 20:25:00, Vintage",true,Color,Darkcyan,,,,,NHFL5-10,0.0,shopify,99,deny,manual,250.00,290.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_211a5ae4-96b8-4840-b1a5-5ad385fcd15f.jpg?v=1687330026,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_211a5ae4-96b8-4840-b1a5-5ad385fcd15f.jpg?v=1687330026,kg,,,true,true,,,true,,,true,,,active
et-harum-quidem,,,,,,,,,Coral,,,,,NHFL5-11,0.0,shopify,99,deny,manual,250.00,290.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_h.jpg?v=1687330026,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_h.jpg?v=1687330026,kg,,,,,,,,,,,,,
et-harum-quidem,,,,,,,,,Gray,,,,,NHFL5-12,0.0,shopify,99,deny,manual,250.00,290.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/07_608ff1aa-82b1-400d-9cc2-1392ee1ed904.jpg?v=1687330026,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/07_608ff1aa-82b1-400d-9cc2-1392ee1ed904.jpg?v=1687330026,kg,,,,,,,,,,,,,
et-harum-quidem,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/08_5dc33fab-217a-422d-b737-c268035348e1.jpg?v=1687330026,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et-harum-quidem,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/09_37b3837a-cab4-490e-8fac-5ba5b80ebe2b.jpg?v=1687330026,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et-harum-quidem,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/10.jpg?v=1687330026,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eget-vulputate,Riona pearl stud earrings,"<span class=""MuiBox-root jss10013 innerWrapText"">Catering to the elite fashion aficionados, this striped top featuring a surplice neck and sash tie-up personifies pure class. Pair it with some elite western wear to radiate a stunning style.<span data-mce-fragment=""1"">Look pretty in a kurta from u women's wear and get it in pink. limeroad has something for everyone.lay your hands on xs size kurtas to wear them as casual wear.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">the best part? these beautiful styles can be taken from work to dinner in a jiffy! swank this kurta in vivid patterns priced at ₹1169. limeroad always gives you the hottest styles at the lowest prices.</span></span>
<ul class=""jss10009"">
<li>Design : Striped</li>
<li>Neckline : Surplice Neck</li>
<li>Style : Casual</li>
<li>Sleeve Length : 3/4th Sleeves</li>
<li>Fabric : Polyester</li>
<li>Care Instructions : Machine wash cold</li>
<li>Model Wears : Size S, has height 5'7"",Chest 33"", and Waist 28""</li>
<li>Return Policy : This product is returnable within 30 days of delivery</li>
<li>Product : Top</li>
<li>Country of Origin : USA</li>
<li>Net Quantity : 1 N</li>
</ul>",Allen Solly,,Clothing,"Clothing, Cotton, Fashion, Summer, Vintage",true,Color,Darkcyan,Size,Small,,,NHFL5-14,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/09_5da6c012-ec05-4e8f-bdca-4d5d5ea2cfb5.jpg?v=1687330293,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/09_5da6c012-ec05-4e8f-bdca-4d5d5ea2cfb5.jpg?v=1687330293,kg,,,true,true,,,true,,,true,,,active
eget-vulputate,,,,,,,,,Darkcyan,,Medium,,,NHFL5-15,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/09_h.jpg?v=1687330293,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/09_h.jpg?v=1687330293,kg,,,,,,,,,,,,,
eget-vulputate,,,,,,,,,Orchid,,Small,,,NHFL5-16,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/10_57c99369-cfd2-4855-8cc6-8e19cc4bc09e.jpg?v=1687330293,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/10_57c99369-cfd2-4855-8cc6-8e19cc4bc09e.jpg?v=1687330293,kg,,,,,,,,,,,,,
eget-vulputate,,,,,,,,,Orchid,,Medium,,,NHFL5-17,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/11_e22c2115-c1fd-475e-a1d1-b0c29e055dc3.jpg?v=1687330293,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/11_e22c2115-c1fd-475e-a1d1-b0c29e055dc3.jpg?v=1687330293,kg,,,,,,,,,,,,,
eget-vulputate,,,,,,,,,Pink,,Small,,,NHFL5-18,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/12_c03c08d7-ce31-4c72-8898-f78f47483a81.jpg?v=1687330293,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/12_c03c08d7-ce31-4c72-8898-f78f47483a81.jpg?v=1687330293,kg,,,,,,,,,,,,,
eget-vulputate,,,,,,,,,Pink,,Medium,,,NHFL5-19,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/13.jpg?v=1687330293,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/13.jpg?v=1687330293,kg,,,,,,,,,,,,,
dictum-massa,Women’s Priyaasi Rose Gold-Plated,"<p><span class=""MuiBox-root jss13712 innerWrapText"">Maximize comfort with this printed T-shirt designed with a round neck and short sleeves.</span><span class=""MuiBox-root jss13712 innerWrapText""><span>Look pretty in a kurta from u women's wear and get it in pink. limeroad has something for everyone.lay your hands on xs size kurtas to wear them as casual wear.</span><br><span>the best part? these beautiful styles can be taken from work to dinner in a jiffy! swank this kurta in vivid patterns priced at ₹1169. limeroad always gives you the hottest styles at the lowest prices.</span></span></p>
<ul class=""jss13708"">
<li>Type : Tees</li>
<li>Design :SImple</li>
<li>Neckline : Round Neck</li>
<li>Style : Casual</li>
<li>Sleeve Length : Half Sleeves</li>
<li>Fabric : Cotton</li>
<li>Care Instructions : Machine Wash</li>
<li>Model Wears : Size S,has Height 5'7"" and Chest 33""</li>
<li>Return Policy : This product is returnable within 30 days of delivery</li>
<li>Product : T-shirt</li>
<li>Country of Origin :USA</li>
<li>Net Quantity : 1800</li>
</ul>
<p><span>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas ullamcorper lacus non urna porttitor, sodales convallis nulla bibendum. Integer dignissim leo vitae lorem lacinia, eget aliquam diam consequat. Donec rhoncus nisl eget ornare egestas. Sed quis tempus ex. Nullam sit amet libero a urna fermentum blandit sed in ex. Curabitur vehicula sed turpis non pellentesque. Nulla maximus dolor vitae cursus placerat. Quisque dictum, ante at euismod imperdiet, lacus enim suscipit nisi, et imperdiet sapien turpis quis ipsum. Integer sed turpis dui. Maecenas eleifend consequat ante eu lacinia. Vestibulum iaculis sed ipsum vel venenatis.</span></p>",PUMA,,Bags,"Cotton, Summer, Time_2025/06/10 20:25:00, Vintage",true,Title,Default Title,,,,,NHFL5-12,0.0,shopify,300,deny,manual,370.00,390.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/12_f269b82a-0fcc-4f94-a522-8635e5eb30f6.jpg?v=1687410231,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,true,,,active
dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/12_h.jpg?v=1687410231,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/13_2c5011c6-2827-4112-96ca-b6068f8de3a2.jpg?v=1687410231,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/14_cec1fc83-8206-4f5c-8d1f-9236fc0ef46b.jpg?v=1687410231,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/15_dc90fc98-b088-4ebc-a5ff-1069cb74e600.jpg?v=1687410231,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/16.jpg?v=1687410231,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at-solmen-va-esser,Versatile sleek gold bangle,"<p>Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summer!</p>
<h4><strong>Sample Unordered List</strong></h4>
<ul>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremou.</li>
</ul>
<h4><strong>Sample Ordered Lista</strong></h4>
<ol>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremous</li>
</ol>
<h4><strong>Sample Paragraph Text</strong></h4>
<blockquote>
<p>Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summer!Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summe!</p>
</blockquote>",Allen Solly,,camera,"Cotton, Shoes, Summer, Time_2024/11/1 20:25:00, Vintage",true,Color,Orchid,,,,,NHFL5,0.0,shopify,399,deny,manual,200.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_92994d63-9e2c-4bd7-b18f-bdfe898bc5c7.jpg?v=1687329855,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_92994d63-9e2c-4bd7-b18f-bdfe898bc5c7.jpg?v=1687329855,kg,,,true,true,,,true,,,true,,,active
at-solmen-va-esser,,,,,,,,,Chocolate,,,,,NHFL6,0.0,shopify,399,deny,manual,120.00,230.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_h.jpg?v=1687329855,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_h.jpg?v=1687329855,kg,,,,,,,,,,,,,
at-solmen-va-esser,,,,,,,,,Green,,,,,NHFL7,0.0,shopify,399,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_178ec557-8790-44ae-9e84-a0c838dc5480.jpg?v=1687329855,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_178ec557-8790-44ae-9e84-a0c838dc5480.jpg?v=1687329855,kg,,,,,,,,,,,,,
at-solmen-va-esser,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_529a54c1-7418-4d7d-861c-0fb4bf01d597.jpg?v=1687329855,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at-solmen-va-esser,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/07_b578c8f6-5df5-4311-a0d5-ff9f8a6bb291.jpg?v=1687329856,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at-solmen-va-esser,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/08.jpg?v=1687329856,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-dictum-massa,Gold Plated Crystal Earrings,"<p><span class=""MuiBox-root jss8118 innerWrapText"">Elegant and comfy, this embroidered A-line dress which has a round neck, and three-quarter sleeves is all you need to ensure your wardrobe is up to date. B</span><span>rowse through the latest collection of various ethnic dresses with cap sleeve sleeve designs to give a flawless desi look. Stay up to date with the great selection of attractive traditional ethnic dresses made with the perfect blend and modern style.</span></p>
<h4><strong>Sample Unordered List</strong></h4>
<ul>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremou.</li>
</ul>
<h4><strong>Sample Ordered Lista</strong></h4>
<ol>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremous</li>
</ol>
<h4><strong>Sample Paragraph Text</strong></h4>
<blockquote>
<p>Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summer!Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summe!</p>
</blockquote>",Levi’s,,Clothing,"Cotton, Fashion, Summer, Vintage",true,Title,Default Title,,,,,NHFL7-11,0.0,shopify,300,deny,manual,370.00,390.00,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/10_abc59774-b265-4299-9328-3105f3e090f9.jpg?v=1687409774,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,true,,,active
copy-of-dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/10_h.jpg?v=1687409774,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/11_90a05e6c-26ce-4e8e-ad55-eeeef334b6d5.jpg?v=1687409774,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/12_74f40cf2-33fc-4849-838e-e51b58ffa41d.jpg?v=1687409774,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/13_ac993598-3b65-49ae-8788-989bc9eb6c7f.jpg?v=1687409774,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-dictum-massa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/14.jpg?v=1687409774,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-egetalique-netus-vulputate,Yellow gold sapphire pendant,"<span><span><span class=""MuiBox-root jss9816 innerWrapText"">Designed with a ribbed surface, round neck, and short sleeves, this textured knitted tee from Styleway is super casual and comfortable making it the perfect ensemble.<span class=""MuiBox-root jss8118 innerWrapText"" data-mce-fragment=""1"">Elegant and comfy, this embroidered A-line dress which has a round neck, and three-quarter sleeves is all you need to ensure your wardrobe is up to date.</span></span></span></span>
<ul class=""jss9812"">
<li>Type : T-shirts</li>
<li>Design : Textured</li>
<li>Neckline : Round Neck</li>
<li>Style : Casual</li>
<li>Sleeve Length : Half Sleeves</li>
<li>Fabric : Polyester Blend</li>
<li>Care Instructions : Machine Wash</li>
<li>Model Wears : Size S,has Height 5'7"" and Chest 33""</li>
<li>Return Policy : This product is returnable within 30 days of delivery</li>
<li>Product : T-shirt</li>
<li>Country of Origin : USA</li>
</ul>
<span>Ut et molestie est. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Ut orci mauris, aliquet ac sagittis eget, euismod et neque. Nulla blandit nulla id tempus ullamcorper. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Duis sit amet massa tincidunt, dictum mi at, tincidunt lorem.Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Duis sit amet massa tincidunt, dictum mi at, tincidunt lorem.</span>",Wrangler,,Scarf,"Cotton, Summer, Time_2025/03/18 20:25:00, Vintage",true,Color,Darkcyan,,,,,NHFL5-14,0.0,shopify,0,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_642868f7-e034-421d-bfb0-636fa7044b91.jpg?v=1687329937,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_642868f7-e034-421d-bfb0-636fa7044b91.jpg?v=1687329937,kg,,,true,true,,,true,,,true,,,active
copy-of-egetalique-netus-vulputate,,,,,,,,,Coral,,,,,NHFL5-14,0.0,shopify,0,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_h.jpg?v=1687329937,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_h.jpg?v=1687329937,kg,,,,,,,,,,,,,
copy-of-egetalique-netus-vulputate,,,,,,,,,Pink,,,,,NHFL5-14,0.0,shopify,0,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_35884df0-98db-4d0c-8ca8-41b2080f842a.jpg?v=1687329937,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_35884df0-98db-4d0c-8ca8-41b2080f842a.jpg?v=1687329937,kg,,,,,,,,,,,,,
